,RIC,Date_Time,Price,Volume,Market_VWAP,Qualifiers,Ex_Cntrb_ID,TradeCategory,GMT_Offset,Type
0,1606.HK,2016-07-11 01:20:00.253796+00:00,2,2000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
1,1606.HK,2016-07-11 01:20:00.253869+00:00,2,2000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
2,1606.HK,2016-07-11 01:20:00.253938+00:00,2,2000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
3,1606.HK,2016-07-11 01:20:00.254006+00:00,2,2000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
4,1606.HK,2016-07-11 01:20:00.257088+00:00,2,2000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
5,1606.HK,2016-07-11 01:20:00.257155+00:00,2,2000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
6,1606.HK,2016-07-11 01:20:00.257155+00:00,2,2000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
7,1606.HK,2016-07-11 01:20:00.257223+00:00,2,2000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
8,1606.HK,2016-07-11 01:20:00.257223+00:00,2,2000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
9,1606.HK,2016-07-11 01:20:00.261719+00:00,2,2000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
10,1606.HK,2016-07-11 01:20:00.263171+00:00,2,2000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
11,1606.HK,2016-07-11 01:20:00.263239+00:00,2,30000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
12,1606.HK,2016-07-11 01:20:00.263312+00:00,2,50000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
13,1606.HK,2016-07-11 01:20:00.263312+00:00,2,1000000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
14,1606.HK,2016-07-11 01:20:00.263393+00:00,2,200000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
15,1606.HK,2016-07-11 01:20:00.263468+00:00,2,50000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
16,1606.HK,2016-07-11 01:20:00.263468+00:00,2,20000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
17,1606.HK,2016-07-11 01:20:00.266886+00:00,2,200000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
18,1606.HK,2016-07-11 01:20:00.266886+00:00,2,50000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
19,1606.HK,2016-07-11 01:20:00.266956+00:00,2,290000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
20,1606.HK,2016-07-11 01:20:00.267025+00:00,2,690000,2,U[ACT_FLAG1],,U[ACT_FLAG1],8,Trade
